Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link
[Digital technologies in nursing-what can they achieve?],"Wolf-Ostermann K, Rothgang H.","Digital care technologies are becoming increasingly important in long-term care. They encompass all technologies that change processes and products by means of networking and/or sensor technology and include artificial intelligence, that is, processes, methods, and algorithms for learning by means of data and enabling meaningful decisions based on this. Their application ranges from the promotion of professional collaboration, control and management, knowledge acquisition and transfer, interaction and relationships to physical caregiving.Digital care technologies have the potential to simultaneously increase the quality of care and improve working conditions in care. However, there are obstacles to this at various levels: The development of these technologies is often driven by technical possibilities, resulting in products that do not provide any concrete benefits in routine nursing care. During implementation, only the operator is trained; however, there is no organizational development for the systematic integration of these technologies into routine work. In addition, there is a lack of high-quality evaluations showing evidence of the actual benefits to routine work in order to attract potential users to these technologies. Finally, there is no sustainable financing, especially for the maintenance of these technologies.Successful digitization in long-term care therefore requires that technology developers and users, as well as policymakers and scientists, jointly overcome these obstacles. This implies that caregivers are involved in the development process from the outset (co-creation) but also that spaces are created where the effect of digital care technologies can be evaluated in routine caregiving.",Technology,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,Germany,2024,Review,unknown,10.1007/s00103-024-03843-3
scEVOLVE: cell-type incremental annotation without forgetting for single-cell RNA-seq data,"Zhai Y, Chen L, Deng M.","The evolution in single-cell RNA sequencing (scRNA-seq) technology has opened a new avenue for researchers to inspect cellular heterogeneity with single-cell precision. One crucial aspect of this technology is cell-type annotation, which is fundamental for any subsequent analysis in single-cell data mining. Recently, the scientific community has seen a surge in the development of automatic annotation methods aimed at this task. However, these methods generally operate at a steady-state total cell-type capacity, significantly restricting the cell annotation systems'capacity for continuous knowledge acquisition. Furthermore, creating a unified scRNA-seq annotation system remains challenged by the need to progressively expand its understanding of ever-increasing cell-type concepts derived from a continuous data stream. In response to these challenges, this paper presents a novel and challenging setting for annotation, namely cell-type incremental annotation. This concept is designed to perpetually enhance cell-type knowledge, gleaned from continuously incoming data. This task encounters difficulty with data stream samples that can only be observed once, leading to catastrophic forgetting. To address this problem, we introduce our breakthrough methodology termed scEVOLVE, an incremental annotation method. This innovative approach is built upon the methodology of contrastive sample replay combined with the fundamental principle of partition confidence maximization. Specifically, we initially retain and replay sections of the old data in each subsequent training phase, then establish a unique prototypical learning objective to mitigate the cell-type imbalance problem, as an alternative to using cross-entropy. To effectively emulate a model that trains concurrently with complete data, we introduce a cell-type decorrelation strategy that efficiently scatters feature representations of each cell type uniformly. We constructed the scEVOLVE framework with simplicity and ease of integration into most deep softmax-based single-cell annotation methods. Thorough experiments conducted on a range of meticulously constructed benchmarks consistently prove that our methodology can incrementally learn numerous cell types over an extended period, outperforming other strategies that fail quickly. As far as our knowledge extends, this is the first attempt to propose and formulate an end-to-end algorithm framework to address this new, practical task. Additionally, scEVOLVE, coded in Python using the Pytorch machine-learning library, is freely accessible at https://github.com/aimeeyaoyao/scEVOLVE.",scRNA-seq data,Brief Bioinform,England,2024,"Research Support, Non-U.S. Gov't",unknown,10.1093/bib/bbae039
Joint online distance learning to complement postgraduate pathology training in preparation for national board examinations,"de Leng B, Helle L, Jokelainen O, Kainulainen M, Kronqvist P, Mol C, Pawelka F, Pohjanen VM, Vincken K.","AIMS: To meet the flexible learning needs of pathology residents preparing for national board examinations, a joint distance learning approach was developed using both asynchronous and synchronous activities with whole slide images, drawing on empirical educational research on online distance learning. METHODS: In a case study of an implementation of the designed joint distance learning approach with a geographically dispersed group of pathology residents in Finland, the participants' perceptions were measured with a 12-item questionnaire covering the value of the learning opportunity, the quality of the sociocognitive processes and their emotional engagement and social cohesion. Communication during the online session was also recorded and analysed to provide objectivity to the self-report data. RESULTS: The effectiveness of joint online learning for knowledge acquisition and preparation for national board examinations was highly rated. However, despite strong emotional engagement during synchronous activities, participants reported minimal interpersonal interaction, which was also reflected in the recordings of the online session. CONCLUSION: Using a technology integration framework and guided by the principles of self-determination theory, joint distance learning is emerging as a beneficial addition to postgraduate pathology programmes in preparation for national examinations. However, to realise the full potential of interpersonal interaction, participants should be prepared for an appropriate mindset.","education, medical",J Clin Pathol,England,2025,Journal Article,unknown,10.1136/jcp-2023-209311
The role of artificial intelligence in knowledge management for medical students and doctors,"Luke WANV, Hooi SC.","The skill of knowledge management empowers practitioners to efficiently integrate and apply knowledge in the clinical context. Current medical knowledge is vast which is beyond the human capacity to retain. Hence, modern-day learning is not just knowledge acquisition, but the organization of knowledge in a retrievable manner. Advancing technology in digital learning spaces and artificial intelligence enables the development of personalized knowledge platforms. Clinicians should find their own ideal spaces for knowledge management from the early stages of their careers, and develop it into a lifelong learning platform, which will eventually lead to better patient care.",,Med Teach,England,2025,Journal Article,unknown,10.1080/0142159X.2024.2336065
Effects of a Serious Smartphone Game on Nursing Students' Theoretical Knowledge and Practical Skills in Adult Basic Life Support: Randomized Wait List-Controlled Trial,"Fijačko N, Masterson Creber R, Metličar Š, Strnad M, Greif R, Štiglic G, Skok P.","BACKGROUND: Retention of adult basic life support (BLS) knowledge and skills after professional training declines over time. To combat this, the European Resuscitation Council and the American Heart Association recommend shorter, more frequent BLS sessions. Emphasizing technology-enhanced learning, such as mobile learning, aims to increase out-of-hospital cardiac arrest (OHCA) survival and is becoming more integral in nursing education. OBJECTIVE: The aim of this study was to investigate whether playing a serious smartphone game called MOBICPR at home can improve and retain nursing students' theoretical knowledge of and practical skills in adult BLS. METHODS: This study used a randomized wait list-controlled design. Nursing students were randomly assigned in a 1:1 ratio to either a MOBICPR intervention group (MOBICPR-IG) or a wait-list control group (WL-CG), where the latter received the MOBICPR game 2 weeks after the MOBICPR-IG. The aim of the MOBICPR game is to engage participants in using smartphone gestures (eg, tapping) and actions (eg, talking) to perform evidence-based adult BLS on a virtual patient with OHCA. The participants' theoretical knowledge of adult BLS was assessed using a questionnaire, while their practical skills were evaluated on cardiopulmonary resuscitation quality parameters using a manikin and a checklist. RESULTS: In total, 43 nursing students participated in the study, 22 (51%) in MOBICPR-IG and 21 (49%) in WL-CG. There were differences between the MOBICPR-IG and the WL-CG in theoretical knowledge (P=.04) but not in practical skills (P=.45) after MOBICPR game playing at home. No difference was noted in the retention of participants' theoretical knowledge and practical skills of adult BLS after a 2-week break from playing the MOBICPR game (P=.13). Key observations included challenges in response checks with a face-down manikin and a general neglect of safety protocols when using an automated external defibrillator. CONCLUSIONS: Playing the MOBICPR game at home has the greatest impact on improving the theoretical knowledge of adult BLS in nursing students but not their practical skills. Our findings underscore the importance of integrating diverse scenarios into adult BLS training. TRIAL REGISTRATION: ClinicalTrials.gov (NCT05784675); https://clinicaltrials.gov/study/NCT05784675.",theoretical knowledge,JMIR Serious Games,Canada,2024,Journal Article,unknown,10.2196/56037
"Improved cardiac auscultation competency interweaving visual, auditory, and tactile stimuli: a preliminary study","Patrizio HA, Phyu R, Kim B, Brolis NV.","METHODS:   A pilot randomized controlled trial was conducted at our institution's simulation center with 32 first year medical students from a single medical institution. Participants were randomly divided into two equal groups and completed an educational module the identification and pathophysiology of five common cardiac sounds. The control group utilized traditional education methods, while the interventional group incorporated multisensory stimuli. Afterwards, participants listened to randomly selected cardiac sounds and competency data was collected through a multiple-choice post-assessment in both groups. Mann-Whitney U test was used to analyze the data. RESULTS: Data were analyzed using the Mann-Whitney U test. Diagnostic accuracy was significantly higher in the multisensory group (Mdn=100%) compared to the control group (Mdn=60%) on the post-assessment (U=73.5, p<0.042). Likewise, knowledge acquisition was substantially better in the multisensory group (Mdn=80%) than in the control group (Mdn=50%) (U= 49, p<0.031). CONCLUSIONS: These findings suggest the incorporation of multisensory stimuli significantly improves cardiac auscultation competency. Given its cost-effectiveness and simplicity, this approach offers a viable alternative to more expensive simulation technologies like the Harvey simulator, particularly in settings with limited resources. Consequently, this teaching modality holds promise for global applicability, addressing the worldwide deterioration in cardiac auscultation skills and potentially leading to better patient outcomes. Future studies should broaden the sample size, span multiple institutions, and investigate long-term retention rates.",simulation,Int J Med Educ,England,2024,Randomized Controlled Trial,unknown,10.5116/ijme.6607.27a6
Artificial cognition vs. artificial intelligence for next-generation autonomous robotic agents,"Sandini G, Sciutti A, Morasso P.","The trend in industrial/service robotics is to develop robots that can cooperate with people, interacting with them in an autonomous, safe and purposive way. These are the fundamental elements characterizing the fourth and the fifth industrial revolutions (4IR, 5IR): the crucial innovation is the adoption of intelligent technologies that can allow the development of cyber-physical systems, similar if not superior to humans. The common wisdom is that intelligence might be provided by AI (Artificial Intelligence), a claim that is supported more by media coverage and commercial interests than by solid scientific evidence. AI is currently conceived in a quite broad sense, encompassing LLMs and a lot of other things, without any unifying principle, but self-motivating for the success in various areas. The current view of AI robotics mostly follows a purely disembodied approach that is consistent with the old-fashioned, Cartesian mind-body dualism, reflected in the software-hardware distinction inherent to the von Neumann computing architecture. The working hypothesis of this position paper is that the road to the next generation of autonomous robotic agents with cognitive capabilities requires a fully brain-inspired, embodied cognitive approach that avoids the trap of mind-body dualism and aims at the full integration of Bodyware and Cogniware. We name this approach Artificial Cognition (ACo) and ground it in Cognitive Neuroscience. It is specifically focused on proactive knowledge acquisition based on bidirectional human-robot interaction: the practical advantage is to enhance generalization and explainability. Moreover, we believe that a brain-inspired network of interactions is necessary for allowing humans to cooperate with artificial cognitive agents, building a growing level of personal trust and reciprocal accountability: this is clearly missing, although actively sought, in current AI. The ACo approach is a work in progress that can take advantage of a number of research threads, some of them antecedent the early attempts to define AI concepts and methods. In the rest of the paper we will consider some of the building blocks that need to be re-visited in a unitary framework: the principles of developmental robotics, the methods of action representation with prospection capabilities, and the crucial role of social interaction.",social robotics,Front Comput Neurosci,Switzerland,2024,Journal Article,unknown,10.3389/fncom.2024.1349408
A study of the impact of the new digital divide on the ICT competences of rural and urban secondary school teachers in China,Zhao W.,"Teachers' competence in information and communication technology (ICT) applications can lead to a deeper integration of technology into the curriculum and improve the quality of education. However, its application and distribution issues could result in resource inequality and social injustice. Based on the ICT competency framework for teachers, the study investigates the variables influencing teachers' ICT competency. A prediction model of teachers' ICT competency is built using empirical data from secondary school teachers in Hebei Province, China, both in urban and rural settings. The study results show that a new digital divide does exist between urban and rural teachers and that differences in digital environment and digital literacy reflecting the new digital divide have different degrees of impact on teachers' ICT competence. Age and subject also affect teachers' ICT competence. In the new era, we can start with knowledge acquisition, knowledge deepening and knowledge creation to improve teachers' ICT competence.",Secondary school teachers,Heliyon,England,2024,Journal Article,unknown,10.1016/j.heliyon.2024.e29186
A Flipped Classroom Pilot in Neonatal Mechanical Ventilation,"Mavis SC, Brumbaugh JE, Carey WA, Kelm DJ.","BACKGROUND: Pediatric residents frequently manage critically ill neonates but have limited systematic training in mechanical ventilation (MV). Competing demands, varying learner levels, and topic complexity contribute to inconsistent education. A blended learning approach may be ideally suited to achieve meaningful learning but has not been described for this topic and learner. OBJECTIVE: To design, implement, and evaluate a flipped classroom for pediatric residents in neonatal MV. METHODS: We used Kern's six-step framework for curricular development to create a flipped classroom curriculum in neonatal MV. Individual prework included interaction with six prerecorded animated whiteboard videos, while in-person learning occurred in small groups at the bedside of a ventilated infant. A mixed-methods evaluation included surveys, quantitative knowledge test scores (before, immediately after, and six months after course completion), and qualitative analysis of participant focus groups. RESULTS: Twenty-six learners participated in the curriculum. Mean knowledge test scores rose and were sustained after course completion (51% baseline, 82% immediate posttest, 90% retention; P < 0.001). Learners identified various design elements, technology affordances, and instructor factors as meaningful, and they identified unexpected impacts of the curriculum beyond knowledge acquisition, including effects on professional identities, interdisciplinary communication skills, and contribution to the culture of safety. CONCLUSION: This curriculum aligned with resident roles, was meaningful to learners, and led to long-term increases in knowledge scores and access to quality education; flipped classroom design using meaningful learning theory and leveraging animated whiteboard technology may be a useful strategy for other highly complex topics in graduate medical education.",technology-enhanced learning,ATS Sch,United States,2023,Journal Article,unknown,10.34197/ats-scholar.2023-0085IN
A Guide to Innovation in Physician Associate/Assistant Education: Using Instructional Technology for Improved Engagement,"Massey A, Stephens B.","For physician associate/assistant (PA) educators, the path of least resistance often is to focus our cognitive energies on topics with which we are most comfortable and to deliver content in the style in which we are most accustomed. The consequence of this approach is that many didactic curricula are delivered in a traditional, lecture-based format, which then aligns with how the faculty were taught. Studies show that lecture-based teaching may not be the most effective and that blending teaching modalities can improve knowledge acquisition. In addition, scheduling several classroom lectures week to week can be challenging, especially in a program that uses numerous guest lecturers to deliver the curriculum. One solution to this problem may be through innovative, engaging resources that enable faculty to deliver content asynchronously. Developing and implementing such tools can be challenging to PA faculty because they are often not formally trained in education nor are they up to date on the most current innovations in educational technology. Furthermore, change can be difficult, and it could seem an insurmountable feat to step outside the comfort zone of a traditional lecture. This work describes a collaboration between PA faculty and a University Instructional Support Specialist where the Analysis, Design, Develop, Implement, Evaluate ADDIE model, a widely used system for developing training tools, was used to create an asynchronous lecture for students in the form of an interactive series of modules to replace a traditional classroom lecture.",,J Physician Assist Educ,United States,2024,Journal Article,unknown,10.1097/JPA.0000000000000586
E-classroom as a Blended Learning Tool: A Structural Equation Modelling Analysis Using Modified Technology Acceptance Model,"Kumar D, Mathur M, Sarkar A, Chauhan M.","BACKGROUND: E-classrooms help teachers save time, keep classes organized, and improve communication with students. This study aims to assess Google Classroom's usefulness in enhancing medical students' knowledge and acceptance of new technology for in-depth learning. MATERIAL AND METHOD: This educational interventional study was carried out on 100 students in the 3rd year of the M.B.B.S., Part 1. After a briefing about Google Classroom and educational topics, enrolled students and faculty were allowed to discuss the topic for two months. Following this, the descriptive approach was utilized to describe the respondents' technology acceptance through the administration of the technology acceptance model (TAM) survey questionnaire. RESULTS: Students were actively involved in discussion, with a 67% response rate. Nearly 85% of students agreed that Google Classroom is a satisfactory way for in-depth knowledge acquisition. On factor analysis, it was observed that the goodness of fit was 0.985, suggesting that the model is acceptable. It was also found that perceived usefulness (PU) had a significant positive effect on motivation towards self-directed learning (SDL), and perceived ease of use (PEOU) had a positive effect on both behavioural intention and actual use. CONCLUSION: Google Classroom is a valuable tool for learning that can enhance active self-learning and increase behavioural intention and actual use. It should be incorporated into day-to-day teaching activities to overcome time constraints.",technology acceptance model,Cureus,United States,2024,Journal Article,unknown,10.7759/cureus.56925
Use of augmented and virtual reality in resuscitation training: A systematic review,"Cheng A, Fijacko N, Lockey A, Greif R, Abelairas-Gomez C, Gosak L, Lin Y; Education Implementation Team Task Force of the International Liaison Committee on Resuscitation (ILCOR).","OBJECTIVES: To evaluate the effectiveness of augmented reality (AR) and virtual reality (VR), compared with other instructional methods, for basic and advanced life support training. METHODS: This systematic review was part of the continuous evidence evaluation process of the International Liaison Committee on Resuscitation (ILCOR) and reported based on the Preferred Reporting Items for Systematic review and Meta-Analysis (PRISMA) guidelines and registered with PROSPERO (CRD42023376751). MEDLINE, EMBASE, and SCOPUS were searched from inception to January 16, 2024. We included all published studies comparing virtual or augmented reality to other methods of resuscitation training evaluating knowledge acquisition and retention, skills acquisition and retention, skill performance in real resuscitation, willingness to help, bystander CPR rate, and patients' survival. RESULTS: Our initial literature search identified 1807 citations. After removing duplicates, reviewing the titles and abstracts of the remaining 1301 articles, full text review of 74 articles and searching references lists of relevant articles, 19 studies were identified for analysis. AR was used in 4 studies to provide real-time feedback during CPR, demonstrating improved CPR performance compared to groups trained with no feedback, but no difference when compared to other sources of CPR feedback. VR use in resuscitation training was explored in 15 studies, with the majority of studies that assessed CPR skills favoring other interventions over VR, or showing no difference between groups. CONCLUSION: Augmented and virtual reality can be used to support resuscitation training of lay people and healthcare professionals, however current evidence does not clearly demonstrate a consistent benefit when compared to other methods of training.",Virtual Reality,Resusc Plus,Netherlands,2024,Review,unknown,10.1016/j.resplu.2024.100643
The Scope of Virtual Reality Simulators in Radiology Education: Systematic Literature Review,"Shetty S, Bhat S, Al Bayatti S, Al Kawas S, Talaat W, El-Kishawi M, Al Rawi N, Narasimhan S, Al-Daghestani H, Madi M, Shetty R.","BACKGROUND: In recent years, virtual reality (VR) has gained significant importance in medical education. Radiology education also has seen the induction of VR technology. However, there is no comprehensive review in this specific area. This review aims to fill this knowledge gap. OBJECTIVE: This systematic literature review aims to explore the scope of VR use in radiology education. METHODS: A literature search was carried out using PubMed, Scopus, ScienceDirect, and Google Scholar for articles relating to the use of VR in radiology education, published from database inception to September 1, 2023. The identified articles were then subjected to a PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses)-defined study selection process. RESULTS: The database search identified 2503 nonduplicate articles. After PRISMA screening, 17 were included in the review for analysis, of which 3 (18%) were randomized controlled trials, 7 (41%) were randomized experimental trials, and 7 (41%) were cross-sectional studies. Of the 10 randomized trials, 3 (30%) had a low risk of bias, 5 (50%) showed some concerns, and 2 (20%) had a high risk of bias. Among the 7 cross-sectional studies, 2 (29%) scored ""good"" in the overall quality and the remaining 5 (71%) scored ""fair."" VR was found to be significantly more effective than traditional methods of teaching in improving the radiographic and radiologic skills of students. The use of VR systems was found to improve the students' skills in overall proficiency, patient positioning, equipment knowledge, equipment handling, and radiographic techniques. Student feedback was also reported in the included studies. The students generally provided positive feedback about the utility, ease of use, and satisfaction of VR systems, as well as their perceived positive impact on skill and knowledge acquisition. CONCLUSIONS: The evidence from this review shows that the use of VR had significant benefit for students in various aspects of radiology education. However, the variable nature of the studies included in the review reduces the scope for a comprehensive recommendation of VR use in radiology education.",virtual reality,JMIR Med Educ,Canada,2024,Systematic Review,unknown,10.2196/52953
Comparing Conventional Physician-Led Education with VR Education for Pacemaker Implantation: A Randomized Study,"Drozdova A, Polokova K, Jiravsky O, Jiravska Godula B, Chovancik J, Ranic I, Jiravsky F, Hecko J, Sknouril L.","INTRODUCTION: Education of patients prior to an invasive procedure is pivotal for good cooperation and knowledge retention. Virtual reality (VR) is a fast-developing technology that helps educate both medical professionals and patients. OBJECTIVE: To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM). METHODS: 150 participants scheduled for an elective implantation of a PPM were enrolled in this prospective study and randomized into two groups: the VR group (n = 75) watched a 360° video about the procedure using the VR headset Oculus Meta Quest 2, while the conventional group (n = 75) was educated by a physician. Both groups filled out a questionnaire to assess the quality of education pre- and in-hospital, their knowledge of the procedure, and their subjective satisfaction. RESULTS: There was no significant difference in the quality of education. There was a non-significant trend towards higher educational scores in the VR group. The subgroup with worse scores was older than the groups with higher scores (82 vs. 76 years, p = 0.025). Anxiety was reduced in 92% of participants. CONCLUSION: VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects.",virtual reality,Healthcare (Basel),Switzerland,2024,Journal Article,unknown,10.3390/healthcare12100976
Proximie in the operating theatre: evaluation of a virtual operating platform for medical student education,"Schramm DC, Abdul-Hamid A, Ramsden J, Mathew R.","INTRODUCTION: Medical students often hesitate to enter the operating theatre because of poor visibility of the surgical field and anxiety about the theatre environment. In addition, ear, nose and throat (ENT) surgery is underrepresented in many medical curricula. Virtual systems like Proximie offer flexible viewing of surgeries with surgeon commentary, potentially addressing these issues. METHODS: This descriptive survey study aimed to evaluate the use of Proximie as a surgical education tool for delivering ENT teaching to medical students. Live ENT procedures were recorded at the ENT Department of the John Radcliffe Hospital and shared with interested clinical medical students through Proximie accounts. Students were added to a private group chat to ask questions and provided feedback through structured forms, assessing procedural effectiveness and the platform's technology. Live-streaming and recording of procedures were facilitated by ENT surgeons providing commentary. RESULTS: Conducted over four virtual theatre days, the study gathered 52 responses: 96% of students rated Proximie's educational value as 4 of 5 or higher; 57% preferred the virtual experience over physical attendance because of its convenience and the improved view of the surgical field. Students valued the live commentary and showed interest in using Proximie for a broader range of surgeries. Suggested improvements included fixing technical issues, better communication of theatre lists, and expanding surgical specialty coverage. CONCLUSIONS: Proximie has been highly rated by medical students for its effective and engaging approach in the instruction of surgical skills, underscoring its value as an educational tool. Future research is needed to formally assess knowledge acquisition and retention across multiple surgical subspecialties. This work is the first step towards evaluating the utility of virtual operating theatre platforms for medical student education.","Surgical procedures, Operative",Ann R Coll Surg Engl,England,2024,Journal Article,unknown,10.1308/rcsann.2024.0028
A concept for international societally relevant microbiology education and microbiology knowledge promulgation in society,"Timmis K, Hallsworth JE, McGenity TJ, Armstrong R, Colom MF, Karahan ZC, Chavarría M, Bernal P, Boyd ES, Ramos JL, Kaltenpoth M, Pruzzo C, Clarke G, López-Garcia P, Yakimov MM, Perlmutter J, Greening C, Eloe-Fadrosh E, Verstraete W, Nunes OC, Kotsyurbenko O, Nikel PI, Scavone P, Häggblom MM, Lavigne R, Le Roux F, Timmis JK, Parro V, Michán C, García JL, Casadevall A, Payne SM, Frey J, Koren O, Prosser JI, Lahti L, Lal R, Anand S, Sood U, Offre P, Bryce CC, Mswaka AY, Jores J, Kaçar B, Blank LM, Maaßen N, Pope PB, Banciu HL, Armitage J, Lee SY, Wang F, Makhalanyane TP, Gilbert JA, Wood TK, Vasiljevic B, Soberón M, Udaondo Z, Rojo F, Tamang JP, Giraud T, Ropars J, Ezeji T, Müller V, Danbara H, Averhoff B, Sessitsch A, Partida-Martínez LP, Huang W, Molin S, Junier P, Amils R, Wu XL, Ron E, Erten H, de Martinis ECP, Rapoport A, Öpik M, Pokatong WDR, Stairs C, Amoozegar MA, Serna JG.","EXECUTIVE SUMMARY: Microbes are all pervasive in their distribution and influence on the functioning and well-being of humans, life in general and the planet. Microbially-based technologies contribute hugely to the supply of important goods and services we depend upon, such as the provision of food, medicines and clean water. They also offer mechanisms and strategies to mitigate and solve a wide range of problems and crises facing humanity at all levels, including those encapsulated in the sustainable development goals (SDGs) formulated by the United Nations. For example, microbial technologies can contribute in multiple ways to decarbonisation and hence confronting global warming, provide sanitation and clean water to the billions of people lacking them, improve soil fertility and hence food production and develop vaccines and other medicines to reduce and in some cases eliminate deadly infections. They are the foundation of biotechnology, an increasingly important and growing business sector and source of employment, and the centre of the bioeconomy, Green Deal, etc. But, because microbes are largely invisible, they are not familiar to most people, so opportunities they offer to effectively prevent and solve problems are often missed by decision-makers, with the negative consequences this entrains. To correct this lack of vital knowledge, the International Microbiology Literacy Initiative-the IMiLI-is recruiting from the global microbiology community and making freely available, teaching resources for a curriculum in societally relevant microbiology that can be used at all levels of learning. Its goal is the development of a society that is literate in relevant microbiology and, as a consequence, able to take full advantage of the potential of microbes and minimise the consequences of their negative activities. In addition to teaching about microbes, almost every lesson discusses the influence they have on sustainability and the SDGs and their ability to solve pressing problems of societal inequalities. The curriculum thus teaches about sustainability, societal needs and global citizenship. The lessons also reveal the impacts microbes and their activities have on our daily lives at the personal, family, community, national and global levels and their relevance for decisions at all levels. And, because effective, evidence-based decisions require not only relevant information but also critical and systems thinking, the resources also teach about these key generic aspects of deliberation. The IMiLI teaching resources are learner-centric, not academic microbiology-centric and deal with the microbiology of everyday issues. These span topics as diverse as owning and caring for a companion animal, the vast range of everyday foods that are produced via microbial processes, impressive geological formations created by microbes, childhood illnesses and how they are managed and how to reduce waste and pollution. They also leverage the exceptional excitement of exploration and discovery that typifies much progress in microbiology to capture the interest, inspire and motivate educators and learners alike. The IMiLI is establishing Regional Centres to translate the teaching resources into regional languages and adapt them to regional cultures, and to promote their use and assist educators employing them. Two of these are now operational. The Regional Centres constitute the interface between resource creators and educators-learners. As such, they will collect and analyse feedback from the end-users and transmit this to the resource creators so that teaching materials can be improved and refined, and new resources added in response to demand: educators and learners will thereby be directly involved in evolution of the teaching resources. The interactions between educators-learners and resource creators mediated by the Regional Centres will establish dynamic and synergistic relationships-a global societally relevant microbiology education ecosystem-in which creators also become learners, teaching resources are optimised and all players/stakeholders are empowered and their motivation increased. The IMiLI concept thus embraces the principle of teaching societally relevant microbiology embedded in the wider context of societal, biosphere and planetary needs, inequalities, the range of crises that confront us and the need for improved decisioning, which should ultimately lead to better citizenship and a humanity that is more sustainable and resilient. ABSTRACT: The biosphere of planet Earth is a microbial world: a vast reactor of countless microbially driven chemical transformations and energy transfers that push and pull many planetary geochemical processes, including the cycling of the elements of life, mitigate or amplify climate change (e.g., Nature Reviews Microbiology, 2019, 17, 569) and impact the well-being and activities of all organisms, including humans. Microbes are both our ancestors and creators of the planetary chemistry that allowed us to evolve (e.g., Life's engines: How microbes made earth habitable, 2023). To understand how the biosphere functions, how humans can influence its development and live more sustainably with the other organisms sharing it, we need to understand the microbes. In a recent editorial (Environmental Microbiology, 2019, 21, 1513), we advocated for improved microbiology literacy in society. Our concept of microbiology literacy is not based on knowledge of the academic subject of microbiology, with its multitude of component topics, plus the growing number of additional topics from other disciplines that become vitally important elements of current microbiology. Rather it is focused on microbial activities that impact us-individuals/communities/nations/the human world-and the biosphere and that are key to reaching informed decisions on a multitude of issues that regularly confront us, ranging from personal issues to crises of global importance. In other words, it is knowledge and understanding essential for adulthood and the transition to it, knowledge and understanding that must be acquired early in life in school. The 2019 Editorial marked the launch of the International Microbiology Literacy Initiative, the IMiLI. HERE, WE PRESENT: our concept of how microbiology literacy may be achieved and the rationale underpinning it; the type of teaching resources being created to realise the concept and the framing of microbial activities treated in these resources in the context of sustainability, societal needs and responsibilities and decision-making; and the key role of Regional Centres that will translate the teaching resources into local languages, adapt them according to local cultural needs, interface with regional educators and develop and serve as hubs of microbiology literacy education networks. The topics featuring in teaching resources are learner-centric and have been selected for their inherent relevance, interest and ability to excite and engage. Importantly, the resources coherently integrate and emphasise the overarching issues of sustainability, stewardship and critical thinking and the pervasive interdependencies of processes. More broadly, the concept emphasises how the multifarious applications of microbial activities can be leveraged to promote human/animal, plant, environmental and planetary health, improve social equity, alleviate humanitarian deficits and causes of conflicts among peoples and increase understanding between peoples (Microbial Biotechnology, 2023, 16(6), 1091-1111). Importantly, although the primary target of the freely available (CC BY-NC 4.0) IMiLI teaching resources is schoolchildren and their educators, they and the teaching philosophy are intended for all ages, abilities and cultural spectra of learners worldwide: in university education, lifelong learning, curiosity-driven, web-based knowledge acquisition and public outreach. The IMiLI teaching resources aim to promote development of a global microbiology education ecosystem that democratises microbiology knowledge.",sustainability‐sustainable development goals,Microb Biotechnol,United States,2024,Editorial,unknown,10.1111/1751-7915.14456
Analysis of Knowledge and Satisfaction in Virtual Clinical Simulation among Nursing Students: A Mixed Study,"Medel D, Reguant M, Cemeli T, Jiménez Herrera M, Campoy C, Bonet A, Sanromà-Ortíz M, Roca J.","Virtual simulation offers a powerful educational tool with considerable, albeit underexplored potential. This technology immerses students in lifelike digital scenarios, fostering the acquisition of knowledge and skills necessary for their future careers. This study aimed to assess knowledge acquisition and satisfaction outcomes among students using a virtual simulation teaching approach. The specific objectives were (1) to compare pre-and posttest knowledge acquisition, (2) to investigate the influence of prior professional experience on knowledge, and (3) to explore satisfaction levels with virtual simulation. One hundred and fifty-nine nursing students participated in a virtual simulation-based clinical intervention, entailing the resolution of a virtual adult patient hospitalized with respiratory pathology. Sociodemographic data and prior professional experience were collected, and knowledge was evaluated through pre-to-post tests. Satisfaction levels were assessed using open-ended questions. Quantitative data were analyzed using descriptive statistics, Wilcoxon, Mann-Whitney U, and Cohen's tests, while qualitative data underwent keyword-in-context analysis. Significant differences were noted between pre- and posttest knowledge levels, with prior experience showing no significant impact on knowledge acquisition. Participants reported high levels of satisfaction. Lexicometric analysis identified four clusters of words related to the key terms ""simulation"", ""learn"", ""activity"", and ""knowledge"". Virtual clinical simulation effectively enhances knowledge acquisition and fosters satisfaction, with students recognizing the positive impact of this approach on their learning. Consequently, virtual simulation contributes to the training of competent health professionals.",virtual simulation,Nurs Rep,Switzerland,2024,Journal Article,unknown,10.3390/nursrep14020081
