uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,kr_DT_evidence,ic_label
26e2c865-3a26-4535-966c-44c06febaa34,No,"The abstract discusses a novel molybdenum grade inversion method based on multi-source hyperspectral feature-level fusion technology, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",medium,None identified,None identified,None identified,Yes,"The abstract mentions the use of multi-source hyperspectral feature-level fusion technology, geophysical spectrometers, and various algorithms for molybdenum content inversion models.",high,multi-source hyperspectral feature-level fusion technology; SVC HR-1024; Lisen; Competitive Adaptive Reweighted Sampling (CARS); Monte Carlo Uninformative Variable Elimination (MCUVE); Successive Projections Algorithm (SPA); Genetic Algorithm (GA); Back Propagation Neural Network (BPNN); Random Forest (RF); Radial Basis Function Neural Network (RBFNN); Extreme Learning Machine (ELM),"Imaging, Sensing, and Perception Technologies; Artificial Intelligence and Intelligent Computation",Empirical Study,"The abstract describes a study that takes Chaoyang Xinhua Molybdenum Mine as the research subject and proposes a novel molybdenum grade inversion method, evaluates its accuracy, and provides theoretical references for the synergistic analysis of multi-source spectra and the optimization of metal deposit inversion models.",high,Undisposed,False
26f6894a-784e-40b4-a6aa-9f8a3e323393,Yes,Pilot testing demonstrated statistically significant gains in both knowledge retention and behavioural intent.,high,road safety awareness; safer motorcycle riding,Collective Tacit Knowledge,high,Yes,"Designed to boost road safety awareness and promote safer motorcycle riding among university students, it addresses gaps between theoretical knowledge and real-world practice through interactive, culturally relevant videos disseminated on social media.",high,"interactive, culturally relevant videos disseminated on social media","Mobile, Social, and Communication Technologies",Empirical Study,"Using the Analysis, Design, Development, Implementation, and Evaluation (ADDIE) framework, researchers surveyed 416 students selected via proportional stratified sampling and conducted focus group discussions to refine content. Pilot testing to evaluate immediate outcomes was subsequently conducted (n=32 participants).",high,Undisposed,True
278166b7-2d9b-47cd-a331-99764d2c034f,Yes,"This study introduces an innovative educational game, Study with Confucius, which blends traditional Chinese cultural education with AI technology. The game's objective is to enhance student engagement and learning outcomes by simulating historical figures and reconstructing historical backgrounds.",high,Classical knowledge and associated wisdom and moral culture,Collective Tacit Knowledge,high,Yes,"Utilizing ChatGPT technology, the game assigns distinct educational abilities to different Agents, resulting in three unique educational modes.",high,ChatGPT technology,Artificial Intelligence and Intelligent Computation,Empirical Study,User study findings demonstrate that the game improves student immersion and their understanding and memorization of knowledge.,high,Undisposed,True
2793c572-66c4-4d0a-bb55-4a42f6eee278,No,"The paper summarizes the latest work on frame-based knowledge representation in ITS, major innovation, uses, and prospects, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,None identified,Yes,"Developments in frame-based systems have more recently targeted the promotion of adaptability, personalization, and scalability in tutoring systems. Researchers have incorporated frames into machine learning methods, including deep learning and reinforcement learning, to allow for dynamic knowledge updates and real-time adjustment according to student needs.",high,"machine learning methods, including deep learning and reinforcement learning",Artificial Intelligence and Intelligent Computation,Literature review,"This paper summaries the latest work on frame-based knowledge representation in ITS, major innovation, uses, and prospects.",high,Undisposed,False
279e9074-6767-4146-af85-0669d1afb580,Yes,"The main task is to develop an ontology-based representation scheme for terms of the application domain, which facilitates knowledge capture, distribution, and maintenance.",high,None identified,None identified,None identified,Yes,"A data semantics analysis explores concepts such as vocabularies, ontologies, and knowledge maps, with an emphasis on the reuse of existing models. Crucially, an ontological model with clear data definitions is developed to correlate Copernicus Program data with station parameters (e.g., FAPAR, LST, soil moisture, etc.). Using the ontology, the actual data are aggregated to create a knowledge map, which includes both an assertion model (concepts and properties) and an instance model (specific instances for ontological relationships).",high,ontologies; knowledge maps,"Data, Information, and Knowledge Systems",Empirical Study,"The main task is to develop an ontology-based representation scheme for terms of the application domain, which facilitates knowledge capture, distribution, and maintenance. The scheme enables computer processing for tasks related to information handling and supporting information exchange.",medium,Undisposed,True
279ed709-a0db-4774-a22b-7549c1e3a82e,Yes,"However, the relationship between digital technology innovation network embedding and innovation performance still needs to be clarified. Therefore, this study adopts the “structure–behavior–performance” research paradigm to extend innovation network research to the digital technology innovation network context, aiming to explore the impact of digital technology innovation network embedding on enterprise innovation performance and to analyze the mediating effect of knowledge acquisition and the moderating effect of digital transformation.",medium,social capital and tacit knowledge,Relational Tacit Knowledge,medium,No,"The abstract discusses the impact of digital technology innovation network embedding on enterprise innovation performance and the mediating effect of knowledge acquisition, but does not explicitly mention the use of digital technologies to capture or retain tacit knowledge.",medium,None identified,None identified,Empirical Study,This study conducts an empirical study based on Chinese A-share listed firms that undertook digital technology innovation from 2010–2021.,high,Undisposed,False
27c04c89-5991-416b-b4bd-4efde1c29af0,No,"The paper presents a game-based assessment framework (GBAF) that is designed to be educator-friendly and useful for the design of assessments for immersive learning environments, without discussing capturing or retaining knowledge.",high,None identified,None identified,None identified,No,"Although widely used for teaching and learning, there are challenges in using digital game applications for assessment. Designing assessments around tasks in complex learning environments like DGs is not always easy, particularly for educators new to using these technologies for teaching. The paper presents a game-based assessment framework (GBAF) that is designed to be educator-friendly and useful for the design of assessments for immersive learning environments, but does not discuss using digital technologies to capture or retain knowledge.",medium,None identified,None identified,Conceptual Framework,"This paper presents a framework developed to guide educators through the design and implementation of assessments when teaching with immersive learning applications. Grounded in the constructive alignment principles and the ECD framework, the game-based assessment framework is designed to help educators align assessment tasks to game tasks and the intended learning outcomes.",high,Undisposed,False
27f34c70-ed9d-483d-87df-d0538a8f6df8,No,The abstract discusses e-book acceptance among first-year undergraduate students but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,medium,None identified,None identified,None identified,Yes,"This paper presents the findings of a seven-year longitudinal survey conducted from 2016 to 2022, examining ebook acceptance among first-year undergraduate students in the information management program.",high,e-books,"Data, Information, and Knowledge Systems",Empirical Study,"This paper presents the findings of a seven-year longitudinal survey conducted from 2016 to 2022, examining ebook acceptance among first-year undergraduate students in the information management program.",high,Undisposed,False
2805d97e-ccbe-43d5-88b8-3a10b0ad3e9a,No,"The abstract discusses a knowledge graph-based data-model-interaction framework for solving weak-shot onsite FTU health condition assessment, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",medium,None identified,None identified,None identified,Yes,"The abstract mentions the use of a knowledge graph-based data-model-interaction framework, computational fluid dynamics calculation, and a transferable graph constructor with cross-domain parameter sharing, indicating the use of digital technologies.",high,knowledge graph-based data-model-interaction framework; computational fluid dynamics calculation; transferable graph constructor with cross-domain parameter sharing,"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,"The proposed method has been applied in a dataset collected from onsite FTU, which not only achieves the best performance in multiple SOTA comparison tests, but also has an acceptable time consumption (5.24 s/100 graphs), and has the possibility of industrial field deployment.",high,Undisposed,False
2816e3db-7f9d-43b5-9ea0-d9d9faceda99,Yes,"Knowledge collaboration is a specific strategy that innovative firms can follow during Artificial Intelligence (AI) adoption processes. This study investigates the role of AI and knowledge collaboration in firm innovation. Using data from 14,143 firms in the UK between 2004 and 2020, we explore how AI adoption impacts knowledge spillover of innovation.",high,Knowledge spillover of innovation,Collective Tacit Knowledge,medium,Yes,This study investigates the role of AI and knowledge collaboration in firm innovation.,high,Artificial Intelligence,Artificial Intelligence and Intelligent Computation,Empirical Study,"Using data from 14,143 firms in the UK between 2004 and 2020, we explore how AI adoption impacts knowledge spillover of innovation.",high,Undisposed,True
281868ab-a69c-4c8b-a68a-28a644881f16,Yes,"Additionally, several research efforts have demonstrated that the VR environment provides higher understanding and knowledge retention levels than traditional approaches. The authors aimed to evaluate four key benefit types and drawbacks through experiments with human subjects. The authors chose four benefit types-Systems Understanding, Information Sharing, Modeling and Training Experience, and Digital Twin based on the MBSE value and benefits review performed by researchers and benefits claimed by the evaluations for similar visual formalism languages. Experiments were conducted to compare the understanding, interaction, and knowledge retention for 3D VR and conventional 2D SysML diagrams.",high,Systems Understanding; Information Sharing; Modeling and Training Experience; Digital Twin,Collective Tacit Knowledge,medium,Yes,"Virtual Reality (VR), an immersive visualization technology, can simulate reality in virtual environments with varying degrees of fidelity. In recent years, the technology industry has invested substantially in the development of head-mounted displays (HMDs) and related virtual reality (VR) technologies. Various research has suggested that VR-based immersive design reviews enhance system issue/fault identification, collaboration, focus, and presence compared to non-immersive approaches. Multiple attempts have been made to visualize conventional 2D SysML diagrams in a virtual reality environment.",high,Virtual Reality (VR); head-mounted displays (HMDs); 3D VR SysML diagrams,Human–Computer Interaction and Immersive Technologies,Empirical Study,"Experiments were conducted to compare the understanding, interaction, and knowledge retention for 3D VR and conventional 2D SysML diagrams.",high,Undisposed,True
286183f1-d38b-4ed7-9c4d-0f37943949f1,No,The abstract discusses evaluating the impact of 2D and 3D Arrow Navigation Interfaces within AR-HUD systems on drivers' spatial learning but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,"The abstract mentions the use of Augmented Reality Head-Up Displays (AR-HUDs) and physiological measures such as EEG, EDA, HR, and HRV to evaluate the impact on drivers' spatial learning.",high,Augmented Reality Head-Up Displays (AR-HUDs); Electroencephalography (EEG); Electrodermal Activity (EDA); Heart Rate (HR); Heart Rate Variability (HRV),"Human–Computer Interaction and Immersive Technologies; Imaging, Sensing, and Perception Technologies",Empirical Study,A pilot experiment conducted under real-road conditions indicates that the 3D-ANI enhances drivers' spatial memory and reduces cognitive load.,high,Undisposed,False
28623f1f-625b-4956-a1c3-b53adfa02faa,No,This study presents a comprehensive review of organizational performance capacity enhancement through a systematic review of existing literature.,low,None identified,None identified,None identified,No,The study does not explicitly mention the use of digital technologies to capture or retain knowledge.,medium,None identified,None identified,Literature review,This study presents a comprehensive review of organizational performance capacity enhancement through a systematic review of existing literature.,high,Undisposed,False
288cd211-32c0-4b66-8688-f99c9aef27fb,No,"The efficiency of the RS is dependent on the quality of the underlying datasets used for training. Sparse datasets present a challenge for training such systems and negatively impacts their efficiency. This research paper presents novel synergistic approaches that combine Fuzzy C-Means (FCM), Restricted Boltzmann Machines (RBM), and Extreme Learning Machines (ELM), to enhance Collaborative Filtering (CF) in RS.",medium,None identified,None identified,None identified,Yes,"This research paper presents novel synergistic approaches that combine Fuzzy C-Means (FCM), Restricted Boltzmann Machines (RBM), and Extreme Learning Machines (ELM), to enhance Collaborative Filtering (CF) in RS.",high,Fuzzy C-Means (FCM); Restricted Boltzmann Machines (RBM); Extreme Learning Machines (ELM),Artificial Intelligence and Intelligent Computation,Empirical Study,The efficiency of proposed approaches against different clustering methods has been evaluated using two benchmark datasets and four metrics.,high,Undisposed,False
28c7d1fa-7452-4e32-a53e-452e6f5ffec0,No,"The research explores the types of teachers' knowledge and their preparation for self-regulated learning and teaching (SRL&T), focusing on pedagogical-content-knowledge (PCK), technological-pedagogical-knowledge (TPK), and assessment knowledge (AK). There is no clear discussion on capturing or retaining knowledge from individuals or organization environment.",medium,None identified,None identified,None identified,No,The abstract does not mention the use of digital technologies to capture or retain tacit knowledge.,medium,None identified,None identified,Empirical Study,The study involved analysing the SRL-oriented digital assignments of 34 teachers to assess their knowledge levels at various stages of their careers.,high,Undisposed,False
28dae37c-d002-4cb3-ba84-bb746dd33979,Yes,"The study investigates how AI chatbots influence adoption patterns, student learning outcomes, and educator roles within higher education institutions. Quantitative findings demonstrate significant positive effects on student academic performance, knowledge retention, and engagement through personalized, conversational learning experiences.",medium,"student academic performance, knowledge retention, and engagement through personalized, conversational learning experiences",Other (student academic performance and knowledge retention through AI chatbots),medium,Yes,The rapid integration of AI chatbots in higher education presents transformative opportunities.,high,AI chatbots,Artificial Intelligence and Intelligent Computation,Empirical Study,"A systematic review following PRISMA guidelines analyzed 77 peer-reviewed articles published between 2014 and 2024, employing bibliometric analysis and Structural Topic Modeling to identify thematic patterns and temporal evolution.",high,Undisposed,True
28f74f86-d14d-4b86-8dba-8ebef6de9f37,Yes,"To address the challenges of the difficult separation of data anomalies from equipment failures and limited knowledge acquisition from expert knowledge bases, this article proposes a dynamic fault diagnosis method for centrifugal compressor expert systems, combining convolutional neural networks (CNN) and principal component analysis for statistical process monitoring (PCA-SPE). Realize the combination of expert knowledge and instrument data, and break through the weak links in existing petrochemical instrument safety monitoring technology and traditional expert systems.",high,expert knowledge,Other(expert knowledge),medium,Yes,combining convolutional neural networks (CNN) and principal component analysis for statistical process monitoring (PCA-SPE). Realize the combination of expert knowledge and instrument data,high,convolutional neural networks (CNN); principal component analysis for statistical process monitoring (PCA-SPE),"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",Empirical Study,"The method has been validated using process data from centrifugal compressors. The results demonstrate that the method achieved 100% classification accuracy for two types of faults: non-starting of the drive machine and excessively low oil pressure. Combined with the expert system, it reached a satisfactory diagnostic performance.",high,Undisposed,True
292668df-e3a3-4b4e-9665-67cfbc08ce7a,No,"The study focuses on evaluating the perceptions of physiotherapy students regarding the effectiveness of full-time online teaching, including satisfaction levels, theoretical knowledge acquisition, and practical skill development, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,"The study mentions the use of online teaching methods and tools like SPSS 25 for data analysis and semi-structured interviews, but does not explicitly discuss using digital technologies to capture or retain knowledge.",medium,None identified,None identified,Empirical Study,"The mixed-methods study was conducted at the Fifth Clinical College of Guangzhou Medical University, China, from October 2022 to January 2023, and comprised students from the 2020 cohort of the four-year physiotherapy major who had attended the Physiotherapy of Orthopaedic Diseases course from September 2022 to January 2023. Quantitative data was collected through pre- and post-online course surveys. Qualitative data was gathered through semi-structured interviews.",high,Undisposed,False
2949fe7c-e70e-4516-8d25-18d94006cc8f,No,"The study investigates the impact of integrating ChatGPT into undergraduate Java programming tutorials, focusing on students’ knowledge acquisition, motivation, and self-efficacy, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"The study integrates ChatGPT into undergraduate Java programming tutorials to measure its effects on students’ knowledge acquisition, motivation, and self-efficacy.",high,ChatGPT,Artificial Intelligence and Intelligent Computation,Empirical Study,"A quasi-experimental design was employed over a seven-week period, involving 53 undergraduate students divided into a ChatGPT-centered learning group (CCLG) and a teacher-centered learning group (TCLG).",high,Undisposed,False
2965a634-1377-4e89-93b1-a6431198c9c9,No,The abstract discusses a differential medical visual question answering method based on medical knowledge but does not mention capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,No,"The abstract describes a method using medical knowledge features, image and text features, but does not mention digital technologies for capturing or retaining knowledge.",medium,None identified,None identified,Empirical Study,Experimental results demonstrate that our method significantly enhances the performance of the differential medical visual question answering task.,high,Undisposed,False
29689b56-95ad-4228-b337-66b760c22efb,No,The abstract discusses a Technical Meta-Engineering Framework for industry-academia software business co-creation but does not explicitly discuss capturing or retaining knowledge from individuals or the organizational environment.,high,None identified,None identified,None identified,Yes,The abstract mentions the use of AI-driven analytics as part of the framework's implementation methods.,medium,AI-driven analytics,Artificial Intelligence and Intelligent Computation,Conceptual Framework,"This paper proposes a Technical Meta-Engineering Framework encompassing nine interlinked layers, ranging from philosophical alignment to strategic governance, modeling, process synergy, technology infrastructure, cognitive knowledge flows, thorough evaluation, meta-reflection, and an overarching adaptive mechanism.",high,Undisposed,False
299eec32-2664-4dc3-a9d2-ee021061a849,Yes,"This paper presents an overview of how nudges can help improve knowledge acquisition, as well as a two ongoing projects.",medium,None identified,None identified,None identified,Yes,"Recent advances in technologies now allow us to learn almost anything in virtual environments, be it via Internet forums or websites, telephone apps, video games, and many more. Such technology-mediated learning can be enhanced with the use of embedded nudges.",high,Internet forums; websites; telephone apps; video games,"Mobile, Social, and Communication Technologies",Conceptual Framework,"This paper presents an overview of how nudges can help improve knowledge acquisition, as well as a two ongoing projects.",medium,Undisposed,False
29bfbe39-d12e-4c5d-bb7a-9f686aa287a6,No,The abstract discusses the benefits and limitations of game-based learning in orthopaedic education but does not explicitly discuss how to capture or retain knowledge from individuals or organizations.,high,None identified,None identified,None identified,No,"The abstract discusses the use of game-based learning modalities such as gamified knowledge review, formative assessment, surgical training tasks, simulation-based training games, and VR/AR games, but does not explicitly state that these are used to capture or retain knowledge.",medium,None identified,None identified,Literature review,"This comprehensive literature review explored the current modalities of GBL in orthopaedic training, including gamified knowledge review and formative assessment, gamification of surgical training tasks, simulation-based training game, and virtual and augmented reality (VR/AR) games.",high,Undisposed,False
29d77240-d8d0-4b05-887c-c89265182eaf,Yes,"Accenture overcame this challenge by developing a globally consistent on-boarding program, the New Joiner Experience (NJX), featuring extended reality (XR). Beyond financial benefits, XR-based learning has improved knowledge retention and strengthened employee engagement.",medium,company innovations; career pathways,Collective Tacit Knowledge,medium,Yes,"Accenture overcame this challenge by developing a globally consistent on-boarding program, the New Joiner Experience (NJX), featuring extended reality (XR).",high,extended reality (XR),Human–Computer Interaction and Immersive Technologies,Case Study,"Accenture overcame this challenge by developing a globally consistent on-boarding program, the New Joiner Experience (NJX), featuring extended reality (XR). This immersive onboarding experience has been very successful, with over 400,000 employees participating as of December 2024.",high,Undisposed,True
29f11ff5-31e3-4014-a000-0347aefef068,No,"The study focuses on using image processing and an Extreme Learning Machine to identify fake currency, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"In this study, it uses image processing to the problem of identifying fake Indian notes. The model is then trained using an ELM.",high,image processing; Extreme Learning Machine (ELM),"Imaging, Sensing, and Perception Technologies; Artificial Intelligence and Intelligent Computation",Empirical Study,"In this study, it uses image processing to the problem of identifying fake Indian notes. The model is then trained using an ELM. Proposed model exceeds both the CNN and SVM models in terms of accuracy, at around 97.8 percent.",high,Undisposed,False
29f40fe6-b7b4-4c9b-8641-ca7240e2b0c4,Yes,"This study delves into the ecosystemic factors impeding this digitization journey, stemming from deficiencies in development, accessibility, and investment in connectivity, financial resources, knowledge acquisition, skill enhancement, and regulatory frameworks.",high,"knowledge acquisition, skill enhancement",Somatic Tacit Knowledge,medium,No,The study discusses digitization factors but does not explicitly mention the use of digital technologies to capture or retain tacit knowledge.,medium,None identified,None identified,Empirical Study,"an empirical investigation was undertaken, encompassing a survey of 264 SME representatives",high,Undisposed,False
29f5a746-e595-4c8a-a009-e4f6b9ee596c,Yes,"The integration of AR provided students with an interactive and immersive learning experience, facilitating the visualization of complex AI concepts and promoting collaborative problem-solving. This approach not only enhanced students’ knowledge retention but also developed their critical thinking, teamwork, and communication skills.",medium,"students' knowledge retention; critical thinking, teamwork, and communication skills",Other (students' knowledge retention and soft skills),medium,Yes,The study employed Augmented Reality (AR) to enhance student learning outcomes.,high,Augmented Reality (AR),Human–Computer Interaction and Immersive Technologies,Empirical Study,The study employed a Nonequivalent Control Group Design to compare the effects of this integrated approach with traditional learning methods.,high,Undisposed,True
2a2e41fa-7d41-4a4b-a243-2a5c44db1a0e,Yes,"The study explores the use of virtual reality (VR) technology to maintain and revitalize the traditional cultural practice of Karapan Sapi, indicating an effort to capture and retain cultural knowledge.",high,"traditional cultural practice of Karapan Sapi, the bull racing tradition of Madura, Indonesia",Collective Tacit Knowledge,high,Yes,The study uses virtual reality (VR) technology to create immersive and interactive experiences for participants to engage with the cultural heritage of Karapan Sapi.,high,virtual reality (VR),Human–Computer Interaction and Immersive Technologies,Empirical Study,"Eighty-five Gen Z participants (aged 20-24) were recruited, with exclusions applied for individuals familiar with the tradition and those with vertigo or migraines. Data were collected through pre- and postexperience knowledge tests, an unannounced two-week follow-up test, and 20 question surveys that covers engagement, immersion, learning interest, cultural preservation, and technology’s role. Structural Equation Modeling (SEM-PLS) was employed to validate the relationships among constructs.",high,Undisposed,True
2a3255c0-47e6-4339-bd69-c93f4fed3852,No,"The study proposes a calculation method for the primary frequency regulation capability of thermal power units based on Extreme Learning Machine (ELM) and Improved Dingo Optimization Algorithm (IDOA). The focus is on optimizing the primary frequency regulation performance and intelligent control of thermal power units, not on capturing or retaining knowledge.",high,None identified,None identified,None identified,Yes,A calculation method for the primary frequency regulation capability of thermal power units based on Extreme Learning Machine (ELM) and Improved Dingo Optimization Algorithm (IDOA) is proposed.,high,Extreme Learning Machine (ELM); Improved Dingo Optimization Algorithm (IDOA),Artificial Intelligence and Intelligent Computation,Empirical Study,"By validating the model with actual data and comparing it with other models, the results show that the IDOA-ELM primary frequency regulation model has higher prediction accuracy and can provide model support for optimizing the primary frequency regulation performance and intelligent control of thermal power units.",high,Undisposed,False
2a3e20d0-c54c-474c-ab5d-8a2d9c336aba,Yes,"The objectives of the project is to develop a blended training program for Stuck Pipe Avoidance using eLearning, video learning and Virtual Reality, VR, to increase participants attention throughout the course and to enhance knowledge retention.",high,None identified,None identified,low,Yes,"The objectives of the project is to develop a blended training program for Stuck Pipe Avoidance using eLearning, video learning and Virtual Reality, VR, to increase participants attention throughout the course and to enhance knowledge retention.",high,eLearning; video learning; Virtual Reality,"Human–Computer Interaction and Immersive Technologies; Mobile, Social, and Communication Technologies",Case Study,"Pre and post training questionnaires confirmed Class participation increased, employee motivation increased, and knowledge retention increased, throughout the new blended course compared to the traditional approach.",medium,Undisposed,True
2aaee35b-f872-41d1-a1dc-1e5cebcd7caa,No,"The abstract discusses collaborative approaches and the interplay between knowledge exploration and exploitation processes for digital transformation in SMEs, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,The abstract discusses digital transformation and knowledge exploration and exploitation processes but does not explicitly mention the use of digital technologies to capture or retain knowledge.,medium,None identified,None identified,Literature review,"We conducted a search of academic papers using research terms such as “Digital*, Digital transfor*, industry 4.0 (I4.0), industry 5.0, knowledge exploration, knowledge acquisition, ecosystem collaboration*, knowledge networks, and open innovation” in both the Scopus and Web of Science databases. Altogether, 108 papers met the criteria for conducting a systematic literature review in this research.",high,Undisposed,False
2b114dbb-e72c-4daa-88c4-68f77b25b1db,Yes,"This paper introduces a gamified learning framework for photovoltaics (PV) education, developed through the EU-funded TRANSIT and PROMISE projects. Preliminary results indicate increased learner engagement, knowledge retention, and enhanced problem-solving skills, bridging the gap between theoretical knowledge and realworld application in PV systems.",medium,practical operation and maintenance (O&M) skills,Somatic Tacit Knowledge,medium,Yes,"The TRANSIT Online Training Platform utilizes scenario-based simulations and multiplayer environments for foundational concepts and PV system design. Complementing this, the PROMISE project incorporates two custom-designed board games to explore O&M complexities.",high,scenario-based simulations; multiplayer environments,Human–Computer Interaction and Immersive Technologies,Empirical Study,"Preliminary results indicate increased learner engagement, knowledge retention, and enhanced problem-solving skills, bridging the gap between theoretical knowledge and realworld application in PV systems.",medium,Undisposed,True
2b193eda-4a62-422b-8bb9-e0364dc1e171,No,"The paper focuses on developing an AI-driven chatbot to assist victims of domestic abuse by providing legal guidance, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,Yes,"SWATI AI (Support and Welfare Assistance through Technology Interface) is an AI-driven chatbot designed to assist victims of domestic abuse by providing accessible, non-judgmental, and actionable legal guidance. This paper introduces the LAMP2 (Legal Analytics Model for Prediction and Prescription), the core framework that powers SWATI, progressing through four distinct research phases aimed at enhancing decision-making capabilities for victims of domestic violence under the Protection of Women from Domestic Violence Act, 2005.",high,AI-driven chatbot; LAMP2 (Legal Analytics Model for Prediction and Prescription); Random Forest; XGBoost; Decision Trees; Llama; Mixtral,Artificial Intelligence and Intelligent Computation,Empirical Study,"Phase 0 focuses on the creation of a curated dataset, PROTECT-JC, which compiles judgments from district courts, high courts, and the Supreme Court of India between 2008 and 2024. Phase 1 introduces a rule-based decision framework in LAMP2 1.0, designed to extract and map predefined intents and entities from user inputs. Phase 2, LAMP2 2.0 leverages supervised machine learning models to predict legal outcomes, such as protection orders, custody orders, and monetary relief. Phase 3 evolves the model further with NLP-driven predictive analytics to process unstructured legal narratives, such as case judgments, transforming them into structured data for improved predictions.",high,Undisposed,False
2b7c054b-f926-4e12-a79a-1571dcdef0bc,No,"The study explores the influence of technology transfer networks on urban innovation capacity. The results indicate that: (1) Embeddedness of cities in technology transfer networks is conducive to cities acquiring more information and resources through external interactions, thereby promoting urban innovation capability. (2) External knowledge acquisition and knowledge absorption capacity positively moderate the effect of technology transfer networks on urban innovation capacity. (3) A significant spatial correlation exists between technology transfer and innovation activities, and technology transfer networks promote innovation in cities with similar spatial characteristics through spatial knowledge spillover effects.",medium,None identified,None identified,None identified,No,"This study crawls technology transfer data through Big Data mining and uses social network analysis to construct an intercity technology transfer network among 286 Chinese cites at the prefecture-level and above, between 2000-2020. The study explores the influence of technology transfer networks on urban innovation capacity.",medium,None identified,None identified,Empirical Study,"This study crawls technology transfer data through Big Data mining and uses social network analysis to construct an intercity technology transfer network among 286 Chinese cites at the prefecture-level and above, between 2000-2020. The study explores the influence of technology transfer networks on urban innovation capacity.",high,Undisposed,False
2c02d576-7af4-46ce-aa19-e41675797a74,Yes,"The study aims to identify the coverage extension of all types of relationships between nodes in the educational activity system, with special attention to Subject (students) and Object, as this central relationship embodies the motive-driven nature of human activity. Practical implications include refocusing on intrinsic motivation, emphasising epistemological needs, meaning, and choice. This involves evaluating the benefits and risks of AI in specific educational cases.",medium,"intrinsic motivation, epistemological needs, meaning, and choice","Other (intrinsic motivation, epistemological needs, meaning, and choice)",medium,Yes,"The analysis incorporated 69 articles from Scopus published from 2020 until now. The results demonstrate the coverage about only some relationships like: Subject-Tools (students' interaction with AI technology), Tools-Object (AI technologies development), and Tools-Community (adapting AI within an educational community).",medium,AI technology,Artificial Intelligence and Intelligent Computation,Literature review,"This study explores how this topic is covered in recent research, by conducting a cross-disciplinary literature review and critical discourse analysis under the theoretical framework of Activity Theory (AT).",high,Undisposed,False
2c713c55-5862-4356-acb1-3f00bd94a108,Yes,This study introduces an efficient approach for educational data analysis by combining image segmentation with generative AI to extract learning insights from students' handwritten notes.,high,students' knowledge retention,Relational Tacit Knowledge,medium,Yes,"Leveraging the Attention Multi-task U-Net for accurate segmentation and GPT-4o for content analysis, our method precisely identifies and categorizes text, charts, and formulas within notes.",high,Attention Multi-task U-Net; GPT-4o,"Artificial Intelligence and Intelligent Computation; Imaging, Sensing, and Perception Technologies",Empirical Study,Our experiments on student notes from a Digital Signal Processing course demonstrate the method's high accuracy and significant efficiency improvements in teachers' review of student notes.,high,Undisposed,True
2d19c04f-ffcd-4387-83c8-d7ef48f5070a,Yes,The automated teaching feedback and student performance evaluation system based on natural language processing (NLP) technology can automatically generate personalized and accurate teaching feedback by comprehensively analyzing students' learning behaviors and improving educational effects.,high,students' learning behaviors,Somatic Tacit Knowledge,medium,Yes,"In this study, a system based on NLP technology is designed and implemented, which evaluates students' learning status and generates feedback by analyzing multi-modal information such as students' homework, online discussion, and emotional data.",high,natural language processing (NLP) technology; deep learning models; sentiment analysis; semantic understanding technologies,Artificial Intelligence and Intelligent Computation,Empirical Study,"The results show that the system can enhance students' learning motivation by 88.65% in discussions and assignments, improve knowledge retention as 65.9% of students demonstrated better course content comprehension, and optimize teacher-student interaction efficiency-with 91.3% of students reporting that personalized suggestions significantly aided their progress.",high,Undisposed,True
2d1a7842-9020-4de0-b902-62e349552600,Yes,The abstract discusses knowledge acquisition (both explicit and tacit) and knowledge integration as key factors impacting continuous innovation capability in technology-based SMEs.,high,tacit knowledge acquisition,Relational Tacit Knowledge,medium,No,The abstract does not mention the use of digital technologies to capture or retain tacit knowledge.,medium,None identified,None identified,Empirical Study,"Utilizing random sampling, 455 authentic surveys were conducted in China to fulfill the desired objective. The study scrutinized these theories through correlation and regression analysis.",high,Undisposed,False
