uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,ic_label
487a21fc-57b2-41b2-b4df-db627aed2aa5,No,The abstract focuses on developing a diagnostic method for cervical cancer detection using machine learning. It does not discuss capturing or retaining knowledge from individuals or an organizational environment.,high,None identified,None identified,None identified,No,"Digital technologies (RMSE-ELM, CNN) are used for classification and diagnosis, not for capturing or retaining knowledge from individuals or an organization.",high,None identified,None identified,Other(Technical Method/Algorithm Proposal),"The abstract describes a 'proposed method' consisting of 'preprocessing, feature extraction, and model training' and evaluates it against other techniques. It does not collect new data from cases or a broad sample; it presents a technical algorithm.",high,False
48b962b6-4626-4640-ade3-e596aa19ed18,Yes,"The abstract explicitly discusses 'tacit knowledge capture' as a mediating mechanism linking alliances to resilience outcomes, and states 'tacit knowledge embedded in alliance routines enhances firms' ability to reconfigure resources and recover from disruptions'.",high,tacit knowledge embedded in alliance routines,Relational Tacit Knowledge,high,No,"The abstract discusses alliances, tacit knowledge capture, and buffering capacity but does not mention any digital technologies used for capturing or retaining knowledge.",high,None identified,None identified,Empirical Study,The abstract states: 'the study develops and tests a conditional indirect effects model using primary data from 247 manufacturing SMEs in Ghana. Hypotheses were tested with Hayes' PROCESS macro to estimate the mediation and moderation effects simultaneously.' This indicates collection and statistical analysis of primary data.,high,False
48baaf63-240a-4cea-b738-3688420b339b,No,"The abstract discusses knowledge acquisition, integration, and connectivity capabilities as factors impacting global value creation, but does not explicitly discuss capturing or retaining knowledge from individuals or the organizational environment; it focuses on dynamic capabilities and competitive advantage.",high,None identified,None identified,high,No,The abstract mentions 'technology adoption' as a moderator but does not specify any digital technology used to capture or retain knowledge.,high,None identified,None identified,Empirical Study,The abstract states: 'A research model was prepared... It was later validated with CB-SEM using 317 respondents from 12 MNEs.' This indicates primary data collection and statistical analysis.,high,False
48c361e3-fd59-4a11-93dc-013ef76b329e,No,"The abstract focuses on obstacle detection and alert generation using multimodal sensory data and deep learning, but does not discuss capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"The abstract describes digital technologies (deep learning, attention mechanisms) for obstacle detection and caption generation, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Conceptual Framework,"The abstract introduces a Multimodality-based Situational Knowledge-aware (MuSK) system and describes its components, but does not mention collecting or analyzing new data.",high,False
48cbcc3f-38fe-4d4e-bcda-a8fc0682deac,No,"The study focuses on designing a secure authentication protocol for IoT in healthcare using deep learning for key generation, not on capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,No digital technologies are discussed for capturing or retaining knowledge.,high,None identified,None identified,Conceptual Framework,The abstract states: 'This paper designs secure authentication model for IoT in the healthcare... The proposed protocol is devised by providing a mathematical model...' indicating a proposed framework without new data collection.,high,False
48cd8da7-c755-45d0-8ca5-6e3ec32fc984,No,"The abstract discusses developing professional capital through a collaborative education model, focusing on knowledge acquisition and skill development for preservice teachers. It does not explicitly discuss or strongly imply capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,"The abstract mentions a 'Technology-Enabled' model but does not specify digital technologies used to capture or retain knowledge. The focus is on the collaborative model itself, not on technology for knowledge retention.",medium,None identified,None identified,Empirical Study,"The abstract states: 'Adopting a qualitative methodology, the study interviewed PSTs... Thematic coding is used to analyze their knowledge acquisition...' This indicates primary data collection and analysis.",high,False
48d03fe1-0ccd-421e-8342-e7a089065b13,Yes,"The abstract discusses 'knowledge-sharing practices' and how 'technological capital promotes a knowledge management system' and 'stabilizes the organizational structure'. It focuses on 'capitalizing a set of technological skills as part of their organizational relevant capital', implying the retention of knowledge within the organization.",high,Technological skills institutionalized to build organizational technological capital favoring knowledge-sharing practices,Collective Tacit Knowledge,medium,Yes,"The abstract states that 'technological capital promotes a knowledge management system' and discusses 'technological skills' and 'technological background of the organization' as key to knowledge sharing, implying digital systems are used.",medium,knowledge management system,"Data, Information, and Knowledge Systems",Case Study,"The abstract states: 'Two comparative case studies have been conducted: the first study took place in a public company and the second study was carried out in a private company of telecommunication involving a documentary study, an observation and semi-structured interviews.'",high,True
48f3a55e-6aa4-4b09-b554-67f36e4942b1,Yes,"The abstract explicitly discusses knowledge loss, knowledge transfer processes, and knowledge leakage, and provides recommendations for retaining knowledge, such as 'automate knowledge-centric business processes' and 'facilitate knowledge-based IT initiatives'.",high,Lost informal friendship networks; knowledge leakage to competition; damaged intra-organizational knowledge flows,Relational Tacit Knowledge,medium,Yes,"The abstract recommends 'implementing self-functioning virtual communities, including enterprise social networks' and 'automate knowledge-centric business processes' to retain knowledge.",high,self-functioning virtual communities; enterprise social networks,"Mobile, Social, and Communication Technologies",Other(Viewpoint/Conceptual),"The abstract states it is a 'Real Impact Viewpoint Article' that 'applies the knowledge-based view of the firm' and 'relies on secondary data', offering managerial recommendations without new primary data collection.",high,False
491a47c6-48c1-42b5-9236-34b7c4e80766,No,"The abstract discusses detecting factual hallucination in intelligent education systems using RAG and LoRA fine-tuning, but does not discuss capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"Digital technologies (RAG, LoRA, large language models) are used for hallucination detection, not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract reports experiments on a real dataset in the education domain, with results showing precision, recall, and F1 scores, indicating data collection and analysis.",high,False
49697d3e-326d-40cb-94dd-9a939647e0eb,No,The abstract focuses on developing a deep learning framework for medical image segmentation. It does not discuss capturing or retaining knowledge from individuals or the organization environment.,high,None identified,None identified,high,No,The abstract describes a deep learning framework for segmentation but does not mention using digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,"The abstract states 'The proposed E-Net was verified on a GODH dataset from Beijing Tongren Hospital' and reports experimental results, indicating primary data analysis.",high,False
49a64cb0-54ed-48a4-81fe-a70d6a695873,Yes,"The abstract discusses capturing knowledge from haul truck operators involved in near-miss events using the Critical Decision Method (CDM) to obtain information about decisions, sensory cues, and strategies. It also mentions supporting 'haul truck knowledge acquisition and retention' through training and other strategies.",high,"haul truck operators' decision-making strategies, sensory cues perceived, and strategies employed during challenging and non-routine situations; mastery level understanding of how their truck works; situational awareness; prioritizing safety when making decisions",Collective Tacit Knowledge,medium,No,"The abstract discusses training, communication practices, and collision warning technologies as potential solutions, but does not explicitly describe using digital technologies to capture or retain the tacit knowledge elicited via the CDM interviews. The knowledge capture method (CDM) is a retrospective interview approach, not a digital technology.",high,None identified,None identified,Empirical Study,The abstract states: 'Researchers captured first-hand accounts from 21 haul truck operators involved in near-miss events from mine sites...' and 'Themes critical to operator decision-making emerged from the data...' indicating primary data collection and analysis.,high,False
49c5f149-312d-4b9e-8f4d-a81f5e0065a2,No,"The abstract discusses using robots for situational awareness in disaster response and applying distributed machine learning. It focuses on real-time knowledge acquisition and dissemination, not on capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"The abstract mentions digital technologies (robots, distributed machine learning) for knowledge acquisition and dissemination, but not for capturing or retaining tacit knowledge from individuals or organizations.",high,None identified,None identified,Conceptual Framework,The abstract states: 'Our work in progress's approach... The overarching goal is a conceptual framework...' This indicates a proposed framework without data collection.,high,False
49d9fcd1-959e-40f5-afec-34016ebacdee,No,"The abstract focuses on automating the invoicing process of outage tickets using queuing theory and deep learning, but does not discuss capturing or retaining knowledge from individuals or the organization.",high,None identified,None identified,high,No,The abstract does not discuss using digital technologies to capture or retain knowledge; it focuses on process automation and efficiency improvement.,high,None identified,None identified,Empirical Study,"The abstract states 'This study first optimizes the scheduling and data capture problem... constructs a recognition model... creates an automated generation model...' and provides quantitative results (AP, accuracy, F-value, etc.), indicating data collection and analysis.",high,False
49e926a8-8652-4eb9-8228-47e512a128c4,Yes,"The abstract discusses 'international mobility and overseas knowledge acquisition can foster development' and 'the return from overseas students in China has significantly contributed to the country's growth', indicating knowledge retention from individuals returning from abroad.",high,"Knowledge acquired by Argentinean students in China through international mobility, particularly in social sciences and language fields",Collective Tacit Knowledge,medium,No,The abstract does not mention any digital technologies used to capture or retain knowledge. It focuses on scholarship programs and repatriation programs.,high,None identified,None identified,Empirical Study,"The abstract describes 'Using a qualitative approach, including documentary analysis and an interview with a former Argentinean Minister of Science and Technology' and examines data from scholarship programs (2009-2023) and repatriation programs (2008-2023).",high,False
4a01ea49-0ecd-4d32-8e8f-93e8e696c61f,No,"The abstract discusses evaluating the effectiveness of a business simulator in developing data-driven decision-making skills, but does not discuss capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"The abstract mentions using MarketSim, an online business simulator, for teaching, but not for capturing or retaining knowledge.",high,None identified,None identified,Empirical Study,"The abstract describes a mixed-methods approach with experimental and control groups, statistical analyses including Repeated Measures MANOVA, Hierarchical Linear Modeling, and Path Analysis on data from 215 students.",high,False
4a14d97e-89c8-4cf3-bd84-64c29db3b0f5,Yes,"The study investigates how XR engagement, content quality, and interaction quality affect knowledge retention and skill development, and identifies knowledge retention as a crucial mediator for learning outcomes.",high,None identified,None identified,low,Yes,Extended reality (XR) technologies are used as a pedagogical instrument to enhance learning effectiveness and knowledge retention.,high,Extended reality (XR),Human–Computer Interaction and Immersive Technologies,Empirical Study,"The study collected survey responses from 302 university students in China and used PLS-SEM, NCA, and fsQCA for analysis.",high,True
4a187045-3e84-4c9b-a586-63917fb7bd77,Yes,"The abstract investigates how embodied augmented reality affects learning achievement, including knowledge retention and transfer. It explicitly measures knowledge retention as a learning outcome.",high,Knowledge retention and transfer of cell structure biology concepts through embodied augmented reality experiences,Somatic Tacit Knowledge,medium,Yes,The abstract explicitly uses augmented reality (AR) as a digital technology to deliver embodied learning experiences and measures its effect on knowledge retention and transfer.,high,Augmented reality,Human–Computer Interaction and Immersive Technologies,Empirical Study,"The abstract describes a study with 122 Chinese high school students assigned to low- or high-embodiment AR experiences, with data analyzed using ANCOVA, indicating primary data collection and statistical analysis.",high,True
4a19453f-ef48-4bb2-a0a4-9571f227c6d4,No,"The abstract focuses on lithology identification using logging data and machine learning, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,No,"Digital technologies (machine learning algorithms) are used for prediction, not for knowledge capture or retention.",high,None identified,None identified,Empirical Study,"The abstract describes collecting logging curves and core data, and comparing algorithms, indicating primary data analysis.",high,False
4a25b265-e499-499d-bf29-50ac8b36b735,Yes,"The abstract proposes a theory of organizational memory predicting that 'task knowledge retained in organizational structures (i.e., agency centralization and task standardization) buffers the disruptive effects of employee turnover.' This directly discusses retaining knowledge from individuals (employees) within the organization.",high,task knowledge retained in organizational structures,Collective Tacit Knowledge,medium,No,"The abstract discusses organizational structures (centralization and standardization) as mechanisms for retaining knowledge, but does not mention or imply the use of any digital technologies for this purpose.",high,None identified,None identified,Empirical Study,"The abstract states 'Using a dataset of information technology (IT) projects implemented by 94 US federal agencies between FY2015 and FY2021, estimates from fractional panel probit models reveal...' This indicates analysis of secondary data for statistical/generalizable analysis.",high,False
4a5b1586-2542-46bb-9168-efefd755e79a,Yes,"The abstract discusses knowledge acquisition in construction technology education, specifically 'transferable knowledge acquisition' through virtual site tours. It measures 'students' knowledge acquisition and learning experience' and assesses 'students' comprehension of content knowledge and their competency to solve practical problems'.",high,students' comprehension of content knowledge and their competency to solve practical problems,Somatic Tacit Knowledge,low,Yes,"The abstract describes a digital platform (TheProjectLive ePlatform) that uses 360-degree panoramas to present construction site complexity and provide an immersive learning environment for virtual site tours, which facilitates knowledge acquisition.",high,360-degree panoramas; TheProjectLive ePlatform,"Imaging, Sensing, and Perception Technologies",Case Study,The abstract states: 'This case study research also provided suggestions to further improve the proposed virtual site tour approach' and describes implementation 'through two years of implementation in a tertiary course' with specific measurements.,high,True
4a5f00fb-04e2-4fe4-9ada-17702494e691,No,"The abstract discusses AI enhancing resource allocation efficiency and knowledge acquisition for innovation resilience, but does not discuss capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"AI technology is discussed as an enabler for innovation resilience, but not specifically for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"Using panel data from Chinese A-share listed companies between 2013 and 2023, we conduct an empirical analysis with a two-way fixed effects model.",high,False
4a9e7b3f-81b4-44cf-bea2-00768ae46827,No,"The abstract discusses AI-powered AR in education for enhancing student engagement, interactive learning, and personalized feedback. It does not discuss capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,None identified,No,"The abstract mentions 'artificial intelligence (AI) with augmented reality (AR)' as technologies used for educational enhancement, but does not describe them being used to capture or retain knowledge.",high,None identified,None identified,Literature review,"The abstract states: 'A comprehensive literature review was conducted, examining current AI-AR applications in educational settings. Additionally, case studies from early adopters... were analyzed. Interviews with educators and experts were conducted.' While interviews were conducted, the primary methodology is described as a literature review with case study analysis, and no new statistical data analysis is mentioned.",medium,False
4abc45f7-1e2f-4faf-a118-e03428d725be,No,"The abstract examines how technology adoption influences knowledge acquisition in self-paced online learning, but does not discuss capturing or retaining knowledge from individuals or organizational environments. It focuses on learning outcomes, not knowledge retention or capture.",high,None identified,None identified,high,No,"The abstract discusses technology adoption in online learning but does not describe digital technologies used to capture or retain knowledge. The focus is on learning, not knowledge capture.",high,None identified,None identified,Empirical Study,"The abstract states: 'It involved surveying 202 learners from the Central University of Jharkhand using a self-constructed five-point Likert scale questionnaire' and reports statistical results (e.g., 'linear regression analysis revealed a significant positive relationship'), indicating primary data collection and analysis.",high,False
4acc0c68-a4e0-4a61-890a-c592d34a50ba,Yes,"The abstract explicitly discusses 'knowledge acquisition' as a dimension being assessed in the study, and the training environment is designed to impart proficiency in nasopharyngeal swabbing, which involves capturing and retaining procedural knowledge from the training environment to the learner.",high,"Proficiency in the nasopharyngeal swabbing technique, including skill development and knowledge acquisition for this critical procedure",Somatic Tacit Knowledge,medium,Yes,The abstract explicitly states the use of 'immersive 3D virtual training environments' and 'virtual reality (VR)' as the technology to deliver the training and assess knowledge acquisition and skill development.,high,immersive 3D virtual training environments; virtual reality (VR),Human–Computer Interaction and Immersive Technologies,Empirical Study,"The abstract states: 'this study endeavors to explore a novel approach...' and 'The primary aim of this investigation is to assess the impact...' and mentions comparing groups, indicating data collection and analysis for statistical/generalizable findings.",medium,True
4b2566e9-664d-4e01-8eee-9d92dc67f9bb,Yes,"The abstract discusses 'knowledge acquisition' as a key outcome of extension approaches and mentions 'capacity building' and 'community and social networks' as drivers of farmers' innovativeness, implying knowledge retention from the environment.",medium,knowledge acquisition; capacity building; community and social networks,Collective Tacit Knowledge,medium,Yes,"The abstract states that 'digital-based approaches promote the highest levels of innovation adoption' and 'digital-based and integrated approaches are more effective for knowledge acquisition', implying digital technologies are used.",medium,digital-based approaches,"Mobile, Social, and Communication Technologies",Literature review,"The abstract states: 'Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, the review analyzed 33 empirical studies' and 'This analysis was based on a search that yielded 2891 records'.",high,False
4b66a503-84be-44d0-a06a-8dc5ee6c6ccd,Yes,"The abstract discusses standardizing documentation of built cultural heritage using HBIM methodology, which involves capturing and retaining knowledge about heritage assets (both physical and non-physical attributes such as historical and cultural characteristics) to prevent loss of knowledge. It mentions 'knowledge acquisition' as part of work on cultural heritage.",high,Historical and cultural characteristics of heritage assets; knowledge about heritage assets that is not fully documented,Collective Tacit Knowledge,medium,Yes,"The abstract explicitly discusses using capturing reality techniques (e.g., measurement methods, point cloud registration) and Heritage/Historic Building Information Modeling (HBIM) to document and preserve knowledge about cultural heritage assets.",high,capturing reality techniques; Heritage/Historic Building Information Modeling (HBIM); point clouds; BIM-compliant 3D information model,"Imaging, Sensing, and Perception Technologies",Conceptual Framework,The abstract states: 'This research aims to develop a working method and templates for procurement workflow standardization'. It proposes a framework but does not mention collecting or analyzing new data.,medium,False
4ba7e56f-b150-451b-b01a-d56293885faf,No,"The abstract analyzes social media posts for religious communication, not capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,low,No,"Social media (Instagram) is used for communication, not for capturing or retaining tacit knowledge.",high,None identified,None identified,Case Study,"The abstract describes a study of 12 posts from a specific Instagram account using netnography and descriptive qualitative method, focusing on one specific case.",high,False
4bda5386-0a35-42b8-a907-aeaab8ee5a0d,Yes,"The abstract introduces a 'wearable supported contextual learning' model that 'aims to help learners acquire the required knowledge in real-time, dynamic environments' and 'offers timely motivational feedback with relevant information'. It discusses closing the gap between theoretical knowledge and practical application, enabling learners to develop skills on a sustained basis, which implies knowledge retention and capture from the learning environment.",medium,None identified,None identified,low,Yes,"The abstract explicitly states: 'The model proposes the use of wearables for collecting data in real-time, adapting context and delivering tailored content... Through multimodal sensor fusion, natural language processing, and adaptive learning techniques, the system offers timely motivational feedback with relevant information.' These are digital technologies used to capture and retain knowledge.",high,wearables; multimodal sensor fusion; natural language processing; adaptive learning techniques,"Cyber-Physical Systems, IoT, and Smart Environments",Conceptual Framework,The abstract states: 'This paper introduces a new model of learning – wearable supported contextual learning... The model proposes the use of wearables for collecting data...' and mentions 'Initial assessments and prior enactment of a prototype showcase the model’s ability...' but does not describe systematic data collection or analysis. The focus is on proposing a new model.,medium,False
4bdfc80d-1af8-48b2-96e5-a18dedbdb343,No,"The abstract examines the relationship between spatial ability and short-term retention of declarative technical information, but does not discuss capturing or retaining knowledge from individuals or organizational environment. It focuses on cognitive predictors of retention, not on knowledge management processes.",high,None identified,None identified,low,No,The abstract does not mention any digital technologies used to capture or retain knowledge.,high,None identified,None identified,Empirical Study,"The abstract mentions 'An original investigation in an authentic educational setting' and 'two subsequent conceptual replication studies', indicating collection and analysis of primary data.",high,False
4be87464-49fa-4731-ab29-0f93e4286802,No,"The abstract discusses using an AI chatbot to provide personalized guidance and access to university policies, but does not explicitly discuss capturing or retaining knowledge from individuals or the organizational environment. It focuses on retrieving and interpreting existing documented knowledge (student handbook).",high,None identified,None identified,high,No,"The abstract describes using digital technologies (LLM, RAG, email integration, web search) to retrieve and provide information, but not to capture or retain tacit knowledge from individuals or organizations.",high,None identified,None identified,Empirical Study,"The abstract describes a comparative analysis of two implementations (Gemini 1 Pro and GPT-4 with text-embedding-ada-002) and presents evaluation metrics (superior performance across all metrics), indicating data collection and analysis.",medium,False
4c0b0f45-a2f4-44a2-b4de-ec2661b31521,No,"The abstract discusses improving understanding and retention of knowledge about computer hardware through an AR mobile application, but does not discuss capturing or retaining knowledge from individuals or the organization environment. It focuses on student learning outcomes, not knowledge management.",high,None identified,None identified,high,No,"The abstract discusses an AR mobile application for learning, but not for capturing or retaining knowledge. The focus is on educational delivery and student learning, not knowledge management.",high,None identified,None identified,Empirical Study,"The abstract states: 'The main results of the research, which used volunteer students associated with control and experimental groups, show that the use of Build_PC significantly improved the understanding and retention of knowledge.' This indicates primary data collection and analysis with control and experimental groups.",high,False
4c179923-f7eb-4f1a-a162-65426023e1e2,No,"The abstract describes a modular constructivist course design for IoT education, focusing on enhancing student engagement and knowledge retention. It does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,The abstract discusses a course design for IoT education but does not mention using digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,"The abstract states 'Findings show significant improvements in student knowledge, with self-assessment data showing increases between 41.5% and 89.6% across all topic areas.' This indicates collection and analysis of data for statistical evaluation.",high,False
4c452bf6-11ed-4037-b6a5-4856a20ceeed,Yes,"The abstract discusses 'catastrophic forgetting when continually learning new knowledge' and proposes a 'Prompt-based Knowledge Consolidation Module (PKC), which acts as a rehearsal-free non-parametric knowledge store. It consolidates historical knowledge by dynamically accumulating and retrieving task-specific ""soft prompts,"" thus effectively circumventing catastrophic forgetting without relying on past data.' This explicitly addresses retaining knowledge from prior tasks.",high,"Clinical-semantic knowledge for distinguishing visually similar but clinically distinct medical images (hard negatives), and task-specific knowledge for Med-VQA tasks.",Relational Tacit Knowledge,medium,Yes,"The abstract explicitly describes a 'Prompt-based Knowledge Consolidation Module (PKC)' which is a digital technology that 'consolidates historical knowledge by dynamically accumulating and retrieving task-specific ""soft prompts""' to retain knowledge.",high,Prompt-based Knowledge Consolidation Module (PKC),Artificial Intelligence and Intelligent Computation,Empirical Study,The abstract states: 'Extensive experimental results on four public benchmark datasets... demonstrate ECSA's state-of-the-art or highly competitive performance.' This indicates collection and analysis of primary data (experimental results on benchmark datasets).,high,True
4c563768-f05a-4b5d-8a8a-4864e4bbbd4e,No,"The abstract discusses knowledge acquisition in game-based learning, but does not discuss capturing or retaining knowledge from individuals or organizational environment. It focuses on comparing learning outcomes (knowledge acquisition) across different instructional methods.",high,None identified,None identified,high,No,"Digital games are used as an instructional tool, but not for capturing or retaining tacit knowledge. The study compares digital vs non-digital games for math learning, not for knowledge retention/capture.",high,None identified,None identified,Empirical Study,"The abstract states: 'We conducted a quasi-experiment to examine the effects of digital and non-digital games on math knowledge acquisition, intrinsic motivation and cognitive load in Chinese classrooms.' This indicates primary data collection and statistical analysis.",high,False
4cb9f28e-4b9f-444c-87a5-5520607f8dcf,Yes,"The abstract explicitly discusses 'integrating knowledge management (KM) into the metaverse can enhance supply chain resilience' and mentions 'knowledge sharing' as a key outcome. The focus is on using metaverse technologies to foster knowledge sharing and collaborative problem-solving, which implies capturing and retaining knowledge from the organizational environment.",high,knowledge sharing and collaborative problem-solving in supply chain resilience,Collective Tacit Knowledge,medium,Yes,"The abstract explicitly states: 'Metaverse technologies such as digital twins, immersive environments, and blockchain are explored as solutions for fostering real-time monitoring, predictive analytics, and collaborative problem-solving' and 'evaluate the impact of these technologies on decision-making efficiency, visibility, and knowledge sharing'. This indicates digital technologies are used to capture and retain knowledge.",high,digital twins; immersive environments; blockchain,Human–Computer Interaction and Immersive Technologies,Conceptual Framework,"The abstract states: 'This paper examines how integrating knowledge management (KM) into the metaverse can enhance supply chain resilience. Using the Analytic Hierarchy Process (AHP), the study identifies and prioritizes key supply chain challenges... A proposed case study simulates disruptions...'. It proposes a framework and uses AHP for prioritization, but does not collect or analyze new empirical data.",high,False
4cc2c4d3-2e9e-4fe4-835b-da90fbf45881,No,"The abstract discusses using haptic VR labs to improve learning outcomes and accessibility for visually impaired students, but does not explicitly discuss or strongly imply capturing or retaining knowledge from individuals or the organizational environment. It focuses on knowledge acquisition through multisensory experiences, not on knowledge retention or capture.",high,None identified,None identified,high,No,"Digital technologies (haptic VR labs) are used for learning and accessibility, but not specifically to capture or retain tacit knowledge. The focus is on creating immersive learning environments, not on knowledge preservation or capture.",high,None identified,None identified,Other(Work in Progress/Project Description),"The abstract describes a project (CrossLab) that is developing digital laboratories and will conduct surveys, experiments, and evaluations. It presents preliminary findings and future research plans, indicating it is a work in progress rather than a completed empirical study, case study, literature review, or conceptual framework.",high,False
4cfaeec3-9dc1-461a-a4a8-9f3b66170368,No,"The abstract discusses personalized learning video recommendations based on student profiles and knowledge graphs, but does not discuss capturing or retaining knowledge from individuals or the organization environment. It focuses on recommending existing content, not preserving or preventing loss of knowledge.",high,None identified,None identified,high,No,"Digital technologies (knowledge graph, video recommendation) are used for personalized learning, not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract states 'The study results indicate that video recommendation technology... can significantly enhance students’ learning abilities and motivation', implying data collection and analysis. It also mentions 'mining the learning profiles' and 'construction of a knowledge graph', suggesting empirical work.",medium,False
4d1ae83f-d868-491a-9b13-cdb1e58f856e,Yes,"The study investigates how Cognitive Support Technology (CST), such as Augmented Reality, can be used for knowledge retention through knowledge capture and instruction in manufacturing.",high,"Expert knowledge of manufacturing processes, including cognitive challenges like mental rotation for 3D images, which is difficult to articulate.",Somatic Tacit Knowledge,medium,Yes,"The study uses Augmented Reality (AR) solutions for knowledge capture and instruction, and also mentions traditional methods like paper or video for knowledge capture.",high,Augmented Reality (AR); Cognitive Support Technology (CST),Human–Computer Interaction and Immersive Technologies,Empirical Study,"The study involved six industrial companies in data collection through a canvas session and cognitive task analysis, and one company participated in a pilot to test AR solutions.",high,True
4d325ce8-07ca-4fda-a985-b020fc32704a,No,"The abstract investigates the impact of generative AI health knowledge acquisition on adolescents' physical activity. It focuses on knowledge acquisition from AI, not on capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,"The abstract mentions generative AI as a source of health knowledge acquisition, but does not discuss digital technologies used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract states: 'Using stratified cluster random sampling, a total of 2,306 valid questionnaires were collected from 10 secondary schools across five cities in southern China.' and 'Structural equation modelling with PROCESS v3.5 macro (5,000 bootstraps) was employed to test direct, mediating, and moderating effects.' This indicates primary data collection and statistical analysis.",high,False
4d599183-0632-4616-b89f-68a9fa90eda0,Yes,"The abstract explicitly discusses 'tacit knowledge sharing' and how it influences innovation performance, implying the capture and retention of tacit knowledge from individuals and organizations.",high,tacit knowledge sharing,Relational Tacit Knowledge,medium,Yes,"The abstract states 'AI influences how tacit knowledge interacts with GIC', indicating digital technology (AI) is used in the context of tacit knowledge.",medium,Artificial Intelligence (AI),Artificial Intelligence and Intelligent Computation,Empirical Study,"The abstract states 'a survey was conducted in three phases among small and medium-sized manufacturing firms in Canada and the UAE, collecting data from 317 UAE and 383 Canadian SMEs', indicating primary data collection and statistical analysis.",high,True
4d606b27-4050-4426-a6a3-fe678eaf9a23,No,"The abstract discusses interregional technology transfer networks and their influencing factors, but does not discuss capturing or retaining knowledge from individuals or the organizational environment. It focuses on patent transactions between cities.",high,None identified,None identified,high,No,The abstract uses patent transaction data for analysis but does not discuss digital technologies used to capture or retain knowledge from individuals or organizations.,high,None identified,None identified,Empirical Study,"The abstract states it 'constructs an interregional technology transfer network covering 295 cities in China' using 'data of 316,960 patent transactions' and performs 'social network analysis' and 'empirical' analysis, indicating quantitative data analysis.",high,False
4d6d14d9-568e-4583-b493-f50094dd44d9,No,"The abstract investigates differences between standard-essential patents and nonstandard-essential patents in terms of knowledge sources, novelty, and generality using patent bibliometric and text analysis. It does not discuss capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,The abstract uses patent bibliometric and text analysis methods but not for capturing or retaining tacit knowledge from individuals or organizations.,high,None identified,None identified,Empirical Study,"The abstract states 'we take a sample of declared SEPs... from 2006 to 2015' and uses empirical analysis to verify impacts, indicating secondary data collection and statistical analysis.",high,False
4d8b1ae4-afba-469b-a0df-924f0060ed6d,No,"The abstract discusses a digital role-playing game for engineering ethics education, focusing on usability and learning effectiveness, but does not discuss capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"The abstract describes a digital game-based learning intervention, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract reports iterative testing through expert review (n=12) and student pilot testing (n=36), with quantitative ratings and usability scores.",high,False
4d9e1cb6-a13e-4a97-b6d8-6afcdcab595f,No,"The study focuses on enhancing computational thinking skills through AI education with a STEAM model, not on capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,No digital technologies are discussed for capturing or retaining knowledge.,high,None identified,None identified,Empirical Study,The abstract states: 'One hundred thirty-six participants are recruited from a high school in Beijing. The results reveal...' indicating data collection and statistical analysis.,high,False
